product_key,sku,product_name,category,subcategory,brand,abc_class,standard_unit_cost,list_price,supplier_key
25,SKU-0025,Vanguard Coaxial Cable 305m Reel,Electrical,Cabling,Vanguard,C,148.32,194.99,10
26,SKU-0026,Titan IEC Power Connector 12-pos,Electrical,Connectors,Titan,C,73.23,128.0,9
27,SKU-0027,Sterling Leather Work Gloves Box 100 (XL),Safety,Gloves,Sterling,C,36.33,56.64,10
28,SKU-0028,Titan Leather Work Gloves Pair (L),Safety,Gloves,Titan,A,53.34,98.43,9
29,SKU-0029,Atlas Drop-In Anchor M8,Fasteners,Anchors,Atlas,C,107.43,167.73,1
30,SKU-0030,Vanguard Plastic Euro Pallet 42x42in,Packaging,Pallets,Vanguard,B,13.15,22.33,3
31,SKU-0031,Sterling Wedge Anchor M10,Fasteners,Anchors,Sterling,B,16.49,28.84,8
32,SKU-0032,Atlas Machine Screw M6 x 40mm,Fasteners,Screws,Atlas,C,25.18,36.16,8
33,SKU-0033,Titan Toggle Switch 25A 3-pole,Electrical,Switches,Titan,C,30.37,38.22,3
34,SKU-0034,Vanguard Hex Bolt 1/4in x 1in,Fasteners,Bolts,Vanguard,A,61.75,102.91,6
35,SKU-0035,Sterling Hydraulic Check Valve 3/4in,Hydraulics,Valves,Sterling,C,138.27,234.15,5
36,SKU-0036,Sterling Wood Screw M4 x 20mm,Fasteners,Screws,Sterling,B,37.51,57.88,7
37,SKU-0037,Atlas Rocker Switch 10A,Electrical,Switches,Atlas,B,177.8,224.9,2
38,SKU-0038,Titan Stretch Wrap 18in 1500ft,Packaging,Film,Titan,A,51.46,94.16,6
39,SKU-0039,Sterling Sleeve Anchor M12,Fasteners,Anchors,Sterling,C,57.15,98.35,7
40,SKU-0040,Sterling Hex Cap Screw M6 x 30mm,Fasteners,Bolts,Sterling,C,29.45,46.19,7
41,SKU-0041,Sterling Anti-Fog Goggles Indirect Vent,Safety,Goggles,Sterling,C,50.68,74.73,2
42,SKU-0042,Sterling Pallet Wrap 18in 1500ft,Packaging,Film,Sterling,B,31.25,43.5,8
43,SKU-0043,Meridian Splash Goggles Smoke Tint,Safety,Goggles,Meridian,A,9.85,15.83,2
44,SKU-0044,Meridian Cut-Resistant Gloves Pair (XL),Safety,Gloves,Meridian,A,110.67,149.33,3
45,SKU-0045,Titan Solenoid Valve 1in,Hydraulics,Valves,Titan,A,7.19,9.23,9
46,SKU-0046,Atlas Machine Screw M4 x 20mm,Fasteners,Screws,Atlas,C,48.45,69.81,6
47,SKU-0047,Sterling Stretch Wrap 20in 5000ft,Packaging,Film,Sterling,C,7.13,9.69,3
48,SKU-0048,Atlas Cat6 Ethernet Cable 305m Reel,Electrical,Cabling,Atlas,B,12.5,18.43,6
49,SKU-0049,Vanguard Nitrile Gloves Pair (XL),Safety,Gloves,Vanguard,C,8.13,14.67,9
50,SKU-0050,Sterling Safety Glasses Wraparound,Safety,Goggles,Sterling,C,96.64,166.0,7
51,SKU-0051,Sterling Shrink Film 2mil 10ft,Packaging,Film,Sterling,A,65.26,101.71,9
52,SKU-0052,Meridian O-Ring Kit FKM Viton,Hydraulics,Seals,Meridian,C,53.51,71.37,5
53,SKU-0053,Vanguard Machine Screw #10 x 1-1/2in,Fasteners,Screws,Vanguard,B,45.37,66.69,5
54,SKU-0054,Vanguard IEC Power Connector 8-pin,Electrical,Connectors,Vanguard,B,182.34,328.18,5
55,SKU-0055,Meridian Heavy-Duty Carton 18x18x16in,Packaging,Cartons,Meridian,C,102.13,167.65,6
56,SKU-0056,Vanguard Gasket Set 35x52x7,Hydraulics,Seals,Vanguard,B,141.95,194.68,7
57,SKU-0057,Vanguard Hydraulic Rod Seal 45x65x10,Hydraulics,Seals,Vanguard,A,119.19,155.79,6
58,SKU-0058,Sterling Socket Cap Screw M4 x 20mm,Fasteners,Screws,Sterling,A,115.15,199.27,6
59,SKU-0059,Vanguard Gasket Set FKM Viton,Hydraulics,Seals,Vanguard,C,181.81,254.9,1
60,SKU-0060,Vanguard Self-Tapping Screw #8 x 1in,Fasteners,Screws,Vanguard,A,68.66,109.41,5
61,SKU-0061,Meridian Stringer Pallet Block 48x48in,Packaging,Pallets,Meridian,C,96.31,148.83,2
62,SKU-0062,Titan Anti-Fog Goggles Wraparound,Safety,Goggles,Titan,A,12.35,20.31,5
63,SKU-0063,Sterling Safety Goggles Clear,Safety,Goggles,Sterling,C,41.37,74.01,7
64,SKU-0064,Meridian DIN Contactor Roller Lever,Electrical,Switches,Meridian,B,32.96,44.12,10
65,SKU-0065,Sterling Hydraulic Hose R2 3/8in x 10m,Hydraulics,Hoses,Sterling,B,140.96,222.97,4
66,SKU-0066,Atlas Stringer Pallet 1100x1100mm,Packaging,Pallets,Atlas,B,118.42,199.02,10
67,SKU-0067,Atlas Hydraulic Check Valve 24V DC,Hydraulics,Valves,Atlas,C,123.48,163.38,1
68,SKU-0068,Titan Wood Pallet 42x42in,Packaging,Pallets,Titan,B,99.4,141.87,5
69,SKU-0069,Atlas Cat6 Ethernet Cable 12 AWG 100ft,Electrical,Cabling,Atlas,B,176.6,303.54,4
70,SKU-0070,Sterling Nitrile Gloves Pair (M),Safety,Gloves,Sterling,B,100.75,132.37,10
71,SKU-0071,Sterling Self-Tapping Screw M5 x 25mm,Fasteners,Screws,Sterling,C,12.67,22.66,3
72,SKU-0072,Titan Cat6 Ethernet Cable 16 AWG 500ft,Electrical,Cabling,Titan,C,40.62,72.97,7
73,SKU-0073,Sterling Leather Work Gloves Box 100 (L),Safety,Gloves,Sterling,A,8.1,13.07,10
74,SKU-0074,Sterling Terminal Block 8-pin,Electrical,Connectors,Sterling,A,154.42,278.99,8
75,SKU-0075,Titan Safety Goggles Wraparound,Safety,Goggles,Titan,C,6.74,9.24,7
76,SKU-0076,Vanguard SAE Hydraulic Hose 5/8in x 25m,Hydraulics,Hoses,Vanguard,C,163.89,220.13,8
77,SKU-0077,Vanguard Hex Bolt M12 x 80mm,Fasteners,Bolts,Vanguard,B,85.77,157.66,6
78,SKU-0078,Vanguard Flange Bolt M10 x 60mm,Fasteners,Bolts,Vanguard,A,106.33,178.18,2
79,SKU-0079,Atlas IEC Power Connector 4-pos,Electrical,Connectors,Atlas,A,188.23,287.08,3
80,SKU-0080,Atlas Stretch Wrap 24in Roll,Packaging,Film,Atlas,A,113.63,162.58,6
81,SKU-0081,Atlas O-Ring Kit 35x52x7,Hydraulics,Seals,Atlas,C,180.78,242.08,7
82,SKU-0082,Atlas Gasket Set PTFE 25pc,Hydraulics,Seals,Atlas,A,28.52,40.41,4
83,SKU-0083,Titan Wood Pallet 48x40in,Packaging,Pallets,Titan,C,76.89,115.11,9
84,SKU-0084,Atlas DIN Contactor 15A,Electrical,Switches,Atlas,B,10.01,15.03,5
85,SKU-0085,Atlas Flange Bolt M6 x 30mm,Fasteners,Bolts,Atlas,C,68.76,114.91,6
86,SKU-0086,Meridian Wood Pallet 1200x800mm,Packaging,Pallets,Meridian,C,66.8,100.79,7
87,SKU-0087,Titan SAE Hydraulic Hose 1/2in x 15m,Hydraulics,Hoses,Titan,C,142.29,253.54,9
88,SKU-0088,Atlas O-Ring Kit 45x65x10,Hydraulics,Seals,Atlas,C,62.57,109.65,5
89,SKU-0089,Titan Carriage Bolt 1/4in x 1in,Fasteners,Bolts,Titan,A,101.36,130.08,6
90,SKU-0090,Titan THHN Wire 12 AWG 100ft,Electrical,Cabling,Titan,B,143.42,180.54,9
91,SKU-0091,Vanguard Poly Sheeting 18in 1500ft,Packaging,Film,Vanguard,B,20.13,32.42,6
92,SKU-0092,Sterling THHN Wire 305m Reel,Electrical,Cabling,Sterling,C,148.97,214.01,7
93,SKU-0093,Vanguard Concrete Screw 5/8in x 5in,Fasteners,Anchors,Vanguard,B,77.62,97.52,8
94,SKU-0094,Titan Hydraulic Hose R2 1/2in x 15m,Hydraulics,Hoses,Titan,A,161.09,296.97,6
95,SKU-0095,Sterling Rocker Switch 15A,Electrical,Switches,Sterling,C,29.93,45.46,4
96,SKU-0096,Vanguard Wedge Anchor M12,Fasteners,Anchors,Vanguard,B,57.38,76.91,2
97,SKU-0097,Titan Rocker Switch 30A 2-pole,Electrical,Switches,Titan,A,47.16,67.21,10
98,SKU-0098,Atlas Shaft Seal 35x52x7,Hydraulics,Seals,Atlas,A,49.2,86.4,7
99,SKU-0099,Vanguard Suction Hose 3/4in x 12m,Hydraulics,Hoses,Vanguard,C,147.24,189.18,8
100,SKU-0100,Meridian Shaft Seal 45x65x10,Hydraulics,Seals,Meridian,C,94.31,161.38,9
